id,percentChange1Month,percentChange1Year,country,name,longName,price,priceChange1Day,percentChange1Day,priceDate
SBF250:IND,5.167790139018275,4.516341032130153,FR,CAC All-Tradable,CAC All-Tradable Index,5756.99,20.47,0.35679998993873596,2/16/2024
CAC:IND,5.379264315674667,5.722319304491733,FR,CAC 40 INDEX,CAC 40 Index,7768.18,24.76,0.3197999894618988,2/16/2024
XU100:IND,15.677216851951439,84.01975002138526,TR,BIST 100 INDEX,Borsa Istanbul 100 Index,9250.36,8.21,0.08879999816417694,2/16/2024
XU030:IND,13.914766705396419,74.33072235492034,TR,BIST 30 Index,BIST 30 Index,9823.85,-1.27,-0.012900000438094139,2/16/2024
TUSISE:IND,-0.6641916446616226,2.793005,TN,Tunis SE TUNINDEX,Tunisia Stock Exchange TUNINDEX,8358.85,1.86,0.022299999371170998,2/16/2024
BHSEEI:IND,,,BH,BB ESTERAD INDEX,Bahrain Bourse Esterad Index,,,,
BHSEASI:IND,4.105236656596183,6.81046,BH,BB ALL SHARE INDEX,Bahrain Bourse All Share Index,2067.53,-11.81,-0.5680000185966492,2/15/2024
AXX:IND,3.1189269260562806,-12.35069885641678,GB,FTSE AIM ALL SHARE INDEX,FTSE AIM All Share Index,758.78,5.8,0.7702999711036682,2/16/2024
UKX:IND,3.347391358535925,-3.656132407837724,GB,FTSE 100 INDEX,FTSE 100 Index,7711.71,114.18,1.5029000043869019,2/16/2024
ASX:IND,3.073137134271438,-3.7770689560489785,GB,FTSE ALL-SHARE INDEX,FTSE All-Share Index,4205.25,55.27,1.3317999839782715,2/16/2024
HDAX:IND,3.4780833490298315,8.666082342350878,DE,HDAX INDEX,Deutsche Borse AG HDAX Index,9174.46,36.98,0.40470001101493835,2/16/2024
DAX:IND,3.396590664041887,10.563493088748217,DE,DAX INDEX,Deutsche Boerse AG German Stock Index DAX,17117.44,70.75,0.41499999165534973,2/16/2024
DFMGI:IND,4.338132792383577,23.167289427715374,AE,DFM GENERAL INDEX,Dubai Financial Market General Index,4258.78,19.83,0.46779999136924744,2/16/2024
ADSMI:IND,-2.9384086322639043,-5.514856,AE,FTSE ADX GENERAL INDEX,FTSE ADX GENERAL INDEX,9427.01,22.03,0.23420000076293945,2/16/2024
MONEX:IND,0.6937695660420439,5.690308,ME,MONEX INDEX,Montenegro Stock Exchange Index (MONEX),15448.71,12.11,0.07840000092983246,2/16/2024
SPEURO:IND,4.804989090298765,6.2014679854795975,EU,S&P EUROPE 350 INDEX,S&P Europe 350 GICS Level Sector MFM Index,1998.17,13.27,0.6685000061988831,2/16/2024
BE500:IND,4.27082986585,3.7699595839130704,EU,BLOOMBERG EUROPEAN 500,"Bloomberg European 500 Index  **To be discontinued on April 1, 2024**",313.24,1.79,0.5746999979019165,2/16/2024
SX5E:IND,7.121422935917977,11.479279144405032,EU,Euro Stoxx 50 Pr,EURO STOXX 50 Price EUR,4765.65,22.48,0.4738999903202057,2/16/2024
SPEU:IND,5.620986375994003,7.6403653319332765,EU,S&P EURO INDEX,S&P Europe Economic Sectors GICS Level Sector Index,2070.71,9.97,0.4837999939918518,2/16/2024
IMOEX:IND,2.4036988728417756,49.50020286968388,RU,MOEX Russia Index,MOEX Russia Index,3242.48,-23.15,-0.708899974822998,2/16/2024
RTSI$:IND,-2.0105305074996704,20.33710429367846,RU,RTS Index,RTS Index,1107.33,-6.32,-0.5674999952316284,2/16/2024
ASE:IND,4.872278978828829,27.436613587725336,GR,Athex Composite Share Pr,Athens Stock Exchange General Index,1405.32,1.82,0.12970000505447388,2/16/2024
FTASE:IND,4.624698968680475,27.69031717659729,GR,FTSE/ASE Large Cap,FTSE/Athens Stock Exchange Large Cap Index,3414.72,1.48,0.04340000078082085,2/16/2024
SASEIDX:IND,3.3699631879896486,18.35473458185799,SA,TADAWUL ALL SHARE INDEX,Tadawul All Share Index,12484.59,45.82,0.3684000074863434,2/15/2024
KAX:IND,9.4763309051036,24.981075772197475,DK,OMX COPENHAGEN INDEX,OMX Copenhagen_PI,1826.086,3.274,0.17960000038146973,2/16/2024
KFX:IND,11.070949187500688,34.94770158971389,DK,OMX COPENHAGEN 20 INDEX,OMX Copenhagen 20,2599.951,6.142,0.23680000007152557,2/16/2024
OMXC25:IND,4.858016836766131,6.749033078980199,DK,OMX Copenhagen 25 Index,OMX Copenhagen 25 Index,1905.245,3.479,0.18289999663829803,2/16/2024
TOP40:IND,1.215229786740172,-8.301128433472925,ZA,FTSE/JSE AFRICA TOP40 IX,FTSE/JSE Africa Top40 Tradeable Index,67152.56,444.53,0.6664000153541565,2/16/2024
JALSH:IND,1.3145307428712276,-7.13459442944261,ZA,FTSE/JSE AFRICA ALL SHR,FTSE/JSE Africa All Share Index,73616.06,397.62,0.5430999994277954,2/16/2024
HEX:IND,0.824416127469054,-11.804350917105074,FI,OMX HELSINKI INDEX,OMX Helsinki_PI,9924.48,169.19,1.7343000173568726,2/16/2024
HEX25:IND,1.6341899009202683,-10.49346725412292,FI,OMX HELSINKI 25 INDEX,OMX Helsinki 25 Index,4467.28,85.66,1.9550000429153442,2/16/2024
BGSMDC:IND,0.7200055643932712,14.60638,BW,Botswana Gaborone Dom,Botswana Gaborone Index,8978.0,-1.95,-0.021700000390410423,2/16/2024
DSM:IND,-3.2747175497770504,-4.575786194550557,QA,QE Index,Qatar Exchange Index,10154.52,-57.74,-0.5654000043869019,2/15/2024
PFTS:IND,0.0,0.0,UA,PFTS Index,Ukraine PFTS Index,507.03,0.0,0.0,2/16/2024
UX:IND,,,UA,Ukrainian Equities Index,Ukrainian Equities Index,,,,
SPI:IND,1.9171410508395614,2.12729543776352,CH,SPI SWISS PERFORMANCE IX,Swiss Exchange Swiss Performance Index,14798.96,28.0,0.18960000574588776,2/16/2024
